2025-04-14 05:49:38,445 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/health'])[2]
2025-04-14 05:49:39,181 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 05:49:40,166 INFO  utils.LoggerHandler - Wait till the Element By.name: search-input is Visible
2025-04-14 05:49:40,260 INFO  utils.LoggerHandler - Inputed Eyes in Input Field
2025-04-14 05:49:40,318 INFO  utils.LoggerHandler - Enter Action Performed
2025-04-14 05:49:41,525 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//div[@class='index-list__title'])[1]
2025-04-14 05:49:42,759 INFO  utils.LoggerHandler - Wait till the Element By.xpath:  //a[text()='Red eye'] is Clickable
2025-04-14 05:49:47,466 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h4[text()='Eye appearance/alignment']
2025-04-14 05:49:48,680 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath:  //a[text()='Red eye']
2025-04-14 05:49:48,892 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 05:49:52,335 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/departments'])[2]
2025-04-14 05:49:55,266 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 05:49:55,347 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/blood-management']
2025-04-14 05:49:57,665 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@class='button--strong button--full button--arrow'])[1] is Clickable
2025-04-14 05:49:59,801 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 05:50:00,049 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 05:50:02,705 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 05:50:02,791 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 05:50:03,067 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 05:50:05,212 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 05:50:05,291 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/pharmacy']
2025-04-14 05:50:05,291 INFO  utils.LoggerHandler - verify forms
2025-04-14 05:50:05,959 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //a[contains(text(),'Take The Survey')] is Visible
2025-04-14 05:50:08,252 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//li[text()='Questions '])[2]
2025-04-14 05:50:08,355 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: //a[contains(text(),'Take The Survey')]
2025-04-14 05:50:08,394 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 05:50:08,394 INFO  utils.LoggerHandler - verify forms
2025-04-14 05:50:11,255 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//h5[text()='About Cleveland Clinic'])
2025-04-14 05:50:11,305 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@href='/help'])[4] is Clickable
2025-04-14 05:50:11,378 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/help'])[4]
2025-04-14 05:50:11,835 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//h2[contains(text(),'Contact Us by Email')])[1] is Clickable
2025-04-14 05:50:11,871 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 05:50:12,006 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/about/contact/phone-directory'])[1]
2025-04-14 05:50:12,472 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: h3[class='side-block__title lede']
2025-04-14 05:50:13,026 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//span[@class='header__logo']) is Clickable
2025-04-14 05:50:15,168 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 05:50:15,234 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 05:50:16,495 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[contains(text(),'Need Help?')])[1] is Clickable
2025-04-14 05:50:18,623 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 05:50:18,694 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 05:50:21,094 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@href='/patients/travel/parking'])
2025-04-14 05:50:21,179 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 05:50:21,179 INFO  utils.LoggerHandler - click on parking
2025-04-14 05:50:22,064 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/travel/travel-assistance'])[1]
2025-04-14 05:50:22,972 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/international'])[1]
2025-04-14 05:50:23,798 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 05:50:23,893 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 05:50:24,169 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 05:50:24,840 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Get Started (U.S.)')])[1]
2025-04-14 05:50:24,857 INFO  utils.LoggerHandler - Url Mismatch
