2025-04-14 04:31:30,299 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/health'])[2]
2025-04-14 04:31:31,083 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:31:32,054 INFO  utils.LoggerHandler - Wait till the Element By.name: search-input is Visible
2025-04-14 04:31:32,141 INFO  utils.LoggerHandler - Inputed Eyes in Input Field
2025-04-14 04:31:32,197 INFO  utils.LoggerHandler - Enter Action Performed
2025-04-14 04:31:33,468 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//div[@class='index-list__title'])[1]
2025-04-14 04:31:34,222 INFO  utils.LoggerHandler - Wait till the Element By.xpath:  //a[text()='Red eye'] is Clickable
2025-04-14 04:31:37,757 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h4[text()='Eye appearance/alignment']
2025-04-14 04:31:38,276 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath:  //a[text()='Red eye']
2025-04-14 04:31:38,635 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 04:31:40,704 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/departments'])[2]
2025-04-14 04:31:44,669 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 04:31:44,840 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/blood-management']
2025-04-14 04:31:46,612 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@class='button--strong button--full button--arrow'])[1] is Clickable
2025-04-14 04:31:48,760 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 04:31:49,023 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@class='button--strong button--full button--arrow'])[1]
2025-04-14 04:31:51,781 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 04:31:51,818 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:31:52,051 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //h2[contains(text(),'Special Expertise Institutes')] is Clickable
2025-04-14 04:31:54,203 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: //h2[contains(text(),'Special Expertise Institutes')]
2025-04-14 04:31:54,339 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: a[href='/departments/pharmacy']
2025-04-14 04:31:54,339 INFO  utils.LoggerHandler - verify forms
2025-04-14 04:31:55,156 INFO  utils.LoggerHandler - Wait till the Element By.xpath: //a[contains(text(),'Take The Survey')] is Visible
2025-04-14 04:31:57,462 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//li[text()='Questions '])[2]
2025-04-14 04:31:57,614 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: //a[contains(text(),'Take The Survey')]
2025-04-14 04:31:57,674 INFO  utils.LoggerHandler - Driver Switched to new Window
2025-04-14 04:31:57,674 INFO  utils.LoggerHandler - verify forms
2025-04-14 04:32:00,502 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//h5[text()='About Cleveland Clinic'])
2025-04-14 04:32:00,537 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[@href='/help'])[4] is Clickable
2025-04-14 04:32:00,668 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/help'])[4]
2025-04-14 04:32:01,066 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//h2[contains(text(),'Contact Us by Email')])[1] is Clickable
2025-04-14 04:32:01,095 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:32:01,264 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/about/contact/phone-directory'])[1]
2025-04-14 04:32:01,926 INFO  utils.LoggerHandler - Clicked the Element with locator By.cssSelector: h3[class='side-block__title lede']
2025-04-14 04:32:02,948 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//span[@class='header__logo']) is Clickable
2025-04-14 04:32:05,096 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 04:32:05,233 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//span[@class='header__logo'])
2025-04-14 04:32:06,439 INFO  utils.LoggerHandler - Wait till the Element By.xpath: (//a[contains(text(),'Need Help?')])[1] is Clickable
2025-04-14 04:32:08,582 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 04:32:08,709 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Need Help?')])[1]
2025-04-14 04:32:11,152 INFO  utils.LoggerHandler - Hovered Over the Element with locator By.xpath: (//a[@href='/patients/travel/parking'])
2025-04-14 04:32:11,301 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:32:11,301 INFO  utils.LoggerHandler - click on parking
2025-04-14 04:32:12,559 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/travel/travel-assistance'])[1]
2025-04-14 04:32:13,665 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[@href='/patients/international'])[1]
2025-04-14 04:32:14,352 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:32:14,393 INFO  utils.LoggerHandler - Scrolled Till the element is in View 
2025-04-14 04:32:14,963 INFO  utils.LoggerHandler - Scrolled Till The Element And Clicked The Element
2025-04-14 04:32:15,481 INFO  utils.LoggerHandler - Clicked the Element with locator By.xpath: (//a[contains(text(),'Get Started (U.S.)')])[1]
2025-04-14 04:32:15,491 INFO  utils.LoggerHandler - Url Mismatch
